,AC(mk),AC(ev),AC(test),size,F1(mk),F1(ev),F1(test),mk(i),mk_ratio,ev(j),ev_ratio,importance_uniformity,front,CD,feature_importance,pixel_0_0,pixel_0_1,pixel_0_2,pixel_0_3,pixel_0_4,pixel_0_5,pixel_0_6,pixel_0_7,pixel_1_0,pixel_1_1,pixel_1_2,pixel_1_3,pixel_1_4,pixel_1_5,pixel_1_6,pixel_1_7,pixel_2_0,pixel_2_1,pixel_2_2,pixel_2_3,pixel_2_4,pixel_2_5,pixel_2_6,pixel_2_7,pixel_3_0,pixel_3_1,pixel_3_2,pixel_3_3,pixel_3_4,pixel_3_5,pixel_3_6,pixel_3_7,pixel_4_0,pixel_4_1,pixel_4_2,pixel_4_3,pixel_4_4,pixel_4_5,pixel_4_6,pixel_4_7,pixel_5_0,pixel_5_1,pixel_5_2,pixel_5_3,pixel_5_4,pixel_5_5,pixel_5_6,pixel_5_7,pixel_6_0,pixel_6_1,pixel_6_2,pixel_6_3,pixel_6_4,pixel_6_5,pixel_6_6,pixel_6_7,pixel_7_0,pixel_7_1,pixel_7_2,pixel_7_3,pixel_7_4,pixel_7_5,pixel_7_6,pixel_7_7,gene,gene0,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66
0,0.966,0.86,0.822,137,0.966,0.86,0.823,0,0.399,0,0.601,0.905,0,2000000000000000.0,,0.0,0.0,0.05,0.0,0.0,0.0,0.06,0,0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.17,0.08,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.02,0.08,0.0,0.0,0.0,0.15,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.01,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
1,0.709,0.693,0.685,25,0.683,0.665,0.654,0,0.399,0,0.601,0.858,0,1000000000000000.1,,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.11,0.0,0.0,0.0,0.0,0.23,0.17,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.09,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
2,0.709,0.693,0.685,25,0.683,0.665,0.654,0,0.399,0,0.601,0.858,0,1000000000000000.0,,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.11,0.0,0.0,0.0,0.0,0.23,0.17,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.09,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0
3,0.898,0.84,0.798,87,0.899,0.841,0.8,0,0.399,0,0.601,0.893,0,0.46,,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0,0,0.03,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.15,0.07,0,0.0,0.0,0.0,0.0,0,0.0,0.03,0,0.03,0.0,0.0,0.0,0.0,0.17,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0,0.11,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
4,0.843,0.815,0.785,59,0.846,0.816,0.789,0,0.399,0,0.601,0.895,0,0.39,,0.0,0.0,0.02,0.0,0.0,0.06,0.0,0,0,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.14,0.08,0,0.0,0.07,0.0,0.0,0,0.0,0.0,0,0.03,0.0,0.0,0.0,0.0,0.19,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.11,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
5,0.942,0.848,0.8,123,0.943,0.848,0.799,0,0.399,0,0.601,0.906,0,0.36,,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0,0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.1,0.0,0.0,0.0,0.0,0.14,0.07,0,0.0,0.0,0.0,0.0,0,0.0,0.03,0,0.03,0.0,0.0,0.0,0.0,0.16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0,0.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1
6,0.755,0.742,0.719,31,0.747,0.741,0.714,0,0.399,0,0.601,0.868,0,0.33,,0.0,0.0,0.05,0.0,0.0,0.07,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.04,0.19,0.09,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.08,0.0,0.0,0.0,0.23,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
7,0.906,0.828,0.8,85,0.907,0.829,0.801,0,0.399,0,0.601,0.915,0,0.3,,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0,0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,0.12,0.07,0,0.0,0.05,0.0,0.0,0,0.05,0.02,0,0.03,0.0,0.0,0.0,0.0,0.17,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0,0.09,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
8,0.841,0.784,0.783,51,0.844,0.788,0.785,0,0.399,0,0.601,0.885,0,0.27,,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0,0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.08,0.0,0.0,0.0,0.0,0.18,0.08,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.1,0.0,0.0,0.0,0.19,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1
9,0.825,0.751,0.757,47,0.829,0.755,0.758,0,0.399,0,0.601,0.886,0,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.09,0.0,0.0,0.0,0.0,0.18,0.13,0,0.0,0.02,0.0,0.0,0,0.0,0.0,0,0.03,0.07,0.0,0.0,0.0,0.0,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
10,0.807,0.768,0.767,49,0.814,0.771,0.767,0,0.399,0,0.601,0.892,0,0.23,,0.0,0.0,0.05,0.0,0.0,0.0,0.12,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.09,0.0,0.0,0.0,0.0,0.18,0.13,0,0.0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.09,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1
11,0.727,0.711,0.694,29,0.704,0.688,0.673,0,0.399,0,0.601,0.875,0,0.22,,0.0,0.0,0.09,0.0,0.0,0.0,0.05,0,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.08,0,0.09,0.0,0.0,0.0,0,0.0,0.04,0,0.0,0.09,0.0,0.0,0.0,0.24,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0
