,node_number,feature,threshold,children_left,children_right,mother_node,node_depth,is_leaves,values,0,1
0,0,worst perimeter,106.6500015258789,1,12,-1,0,False,,0.5000000000000014,0.5000000000000023
1,1,worst concave points,0.13385000079870224,2,7,0,1,False,,0.07385722726540267,0.9261427727345981
2,2,area error,48.97500038146973,3,4,1,2,False,,0.014792899408284025,0.9852071005917161
3,3,LEAF_NODE,-2.0,-1,-1,2,3,True,,0.0,1.0
4,4,mean smoothness,0.09067999944090843,5,6,2,3,False,,0.7716049382716049,0.2283950617283951
5,5,LEAF_NODE,-2.0,-1,-1,4,4,True,,0.0,1.0
6,6,LEAF_NODE,-2.0,-1,-1,4,4,True,,1.0,0.0
7,7,worst texture,27.575000762939453,8,11,1,2,False,,0.6552125800815376,0.3447874199184625
8,8,worst smoothness,0.17075000703334808,9,10,7,3,False,,0.29691211401425177,0.7030878859857483
9,9,LEAF_NODE,-2.0,-1,-1,8,4,True,,0.0,1.0
10,10,LEAF_NODE,-2.0,-1,-1,8,4,True,,1.0,0.0
11,11,LEAF_NODE,-2.0,-1,-1,7,3,True,,1.0,0.0
12,12,worst texture,20.045000076293945,13,16,0,1,False,,0.9315672088342494,0.06843279116575113
13,13,mean concave points,0.08365499973297119,14,15,12,2,False,,0.49631310266591044,0.5036868973340898
14,14,LEAF_NODE,-2.0,-1,-1,13,3,True,,0.0,1.0
15,15,LEAF_NODE,-2.0,-1,-1,13,3,True,,1.0,0.0
16,16,mean concave points,0.03071499988436699,17,20,12,2,False,,0.9777376654632974,0.022262334536702816
17,17,worst symmetry,0.30390000343322754,18,19,16,3,False,,0.4578754578754578,0.5421245421245421
18,18,LEAF_NODE,-2.0,-1,-1,17,4,True,,0.0,1.0
19,19,LEAF_NODE,-2.0,-1,-1,17,4,True,,1.0,0.0
20,20,worst concavity,0.1868000030517578,21,24,16,3,False,,0.9953962921488118,0.0046037078511882625
21,21,mean smoothness,0.08599000051617622,22,23,20,4,False,,0.6281407035175879,0.37185929648241206
22,22,LEAF_NODE,-2.0,-1,-1,21,5,True,,1.0,0.0
23,23,LEAF_NODE,-2.0,-1,-1,21,5,True,,0.0,1.0
24,24,LEAF_NODE,-2.0,-1,-1,20,4,True,,1.0,0.0
